line_id,line_name,line_routes,line_pattern,color,municipality_id
3706,"Charneca da Caparica - Lisboa (Sete Rios), via Feijó",['3706_0'],"['3706_0_2', '3706_0_1']",#C61D23,"['1503', '1106']"
3708,Costa da Caparica (Terminal) - Lisboa (C. Sodré),['3708_0'],"['3708_0_2', '3708_0_1']",#C61D23,"['1503', '1106']"
3709,Costa da Caparica (Terminal) - Lisboa (M. Pombal),['3709_0'],"['3709_0_2', '3709_0_1']",#C61D23,"['1503', '1106']"
3710,Costa da Caparica (Terminal) - Lisboa (Areeiro),['3710_0'],"['3710_0_2', '3710_0_1']",#C61D23,"['1503', '1106']"
3711,Monte da Caparica (FCT) - Lisboa (Sete Rios),['3711_0'],"['3711_0_2', '3711_0_1']",#C61D23,"['1503', '1106']"
3715,Lisboa (M. Pombal) - Santa Marta do Pinhal,['3715_0'],"['3715_0_2', '3715_0_1']",#C61D23,"['1106', '1503', '1510']"
3716,Lisboa (Sete Rios) - Marisol,['3716_0'],"['3716_0_2', '3716_0_1']",#C61D23,"['1106', '1503', '1510']"
3717,Lisboa (Sete Rios) - Quinta do Brasileiro,['3717_0'],"['3717_0_2', '3717_0_1']",#C61D23,"['1106', '1503', '1510']"
3720,Lisboa (Sete Rios) - Quinta do Conde,['3720_0'],"['3720_0_2', '3720_0_1']",#FDB71A,"['1106', '1503', '1510', '1511']"
3721,Lisboa (Sete Rios) - Sesimbra (Terminal),['3721_0'],"['3721_0_2', '3721_0_1']",#FDB71A,"['1106', '1503', '1510', '1511']"
4001,Alcochete | Circular,['4001_0'],['4001_0_3'],#3D85C6,['1502']
4002,São Francisco | Circular,['4002_0'],['4002_0_3'],#C61D23,['1502']
4101,Alhos Vedros (Escola José Afonso) - Arroteias,['4101_0'],"['4101_0_2', '4101_0_1']",#C61D23,['1506']
4102,Moita (Estação) - Sarilhos Pequenos via Gaio-Rosário,['4102_0'],"['4102_0_2', '4102_0_1']",#C61D23,['1506']
